trip	from	to	distance(meters)
303	Boston National Historical Park	Boston Harbor Islands National Recreation Area	2675
304	Boston Harbor Islands National Recreation Area	Boston African American National Historic Site	1512
305	Boston African American National Historic Site	Frederick Law Olmsted National Historic Site	9534
306	Frederick Law Olmsted National Historic Site	John Fitzgerald Kennedy National Historic Site	3886
307	John Fitzgerald Kennedy National Historic Site	Longfellow House-Washington's Headquarters National Historic Site	6017
308	Longfellow House-Washington's Headquarters National Historic Site	Minute Man National Historical Park	20161
309	Minute Man National Historical Park	Lowell National Historical Park	32637
310	Lowell National Historical Park	Springfield Armory National Historic Site	151625
311	Springfield Armory National Historic Site	Martin Van Buren National Historic Site	131260
312	Martin Van Buren National Historic Site	Vanderbilt Mansion National Historic Site	72682
313	Vanderbilt Mansion National Historic Site	Home of Franklin D. Roosevelt National Historic Site	5616
314	Home of Franklin D. Roosevelt National Historic Site	Eleanor Roosevelt National Historic Site	4909
315	Eleanor Roosevelt National Historic Site	Weir Farm National Historic Site	92318
316	Weir Farm National Historic Site	Fire Island National Seashore	150580
317	Fire Island National Seashore	Sagamore Hill National Historic Site	59999
318	Sagamore Hill National Historic Site	Saint Paul's Church National Historic Site	54852
319	Saint Paul's Church National Historic Site	Hamilton Grange National Memorial	20110
320	Hamilton Grange National Memorial	General Grant National Memorial	2553
321	General Grant National Memorial	Theodore Roosevelt Birthplace National Historic Site	11958
322	Theodore Roosevelt Birthplace National Historic Site	Stonewall National Monument	1531
323	Stonewall National Monument	African Burial Ground National Monument	2794
324	African Burial Ground National Monument	Federal Hall National Memorial	1639
325	Federal Hall National Memorial	Castle Clinton National Monument	1857
326	Castle Clinton National Monument	Governors Island National Monument	1451
327	Governors Island National Monument	Gateway National Recreation Area	91522
328	Gateway National Recreation Area	Statue of Liberty National Monument	80869
329	Statue of Liberty National Monument	Paterson Great Falls National Historical Park	43603
330	Paterson Great Falls National Historical Park	Thomas Edison National Historical Park	21366
331	Thomas Edison National Historical Park	Morristown National Historical Park	39987
332	Morristown National Historical Park	Middle Delaware National Scenic River	97332
333	Middle Delaware National Scenic River	Delaware Water Gap National Recreation Area	0
334	Delaware Water Gap National Recreation Area	Upper Delaware Scenic and Recreational River	73181
335	Upper Delaware Scenic and Recreational River	Steamtown National Historic Site	76849
336	Steamtown National Historic Site	Hopewell Furnace National Historic Site	179065
337	Hopewell Furnace National Historic Site	Valley Forge National Historical Park	35555
338	Valley Forge National Historical Park	First State National Historical Park	70267
339	First State National Historical Park	Edgar Allan Poe National Historic Site	63511
340	Edgar Allan Poe National Historic Site	Independence National Historical Park	2248
341	Independence National Historical Park	Thaddeus Kosciuszko National Memorial	583
342	Thaddeus Kosciuszko National Memorial	Great Egg Harbor Scenic and Recreational River	98930
343	Great Egg Harbor Scenic and Recreational River	Assateague Island National Seashore	158839
344	Assateague Island National Seashore	Harriet Tubman Underground Railroad National Historical Park	100802
345	Harriet Tubman Underground Railroad National Historical Park	Fort McHenry National Monument and Historic Shrine	139388
346	Fort McHenry National Monument and Historic Shrine	Hampton National Historic Site	31187
347	Hampton National Historic Site	Gettysburg National Military Park	86902
348	Gettysburg National Military Park	Eisenhower National Historic Site	5260
349	Eisenhower National Historic Site	Catoctin Mountain Park	34182
350	Catoctin Mountain Park	Monocacy National Battlefield	42550
351	Monocacy National Battlefield	Antietam National Battlefield	42393
352	Antietam National Battlefield	Harpers Ferry National Historical Park	28209
353	Harpers Ferry National Historical Park	Appalachian National Scenic Trail - Headquarters in Harpers Ferry	1029
354	Appalachian National Scenic Trail - Headquarters in Harpers Ferry	Cedar Creek and Belle Grove National Historical Park	65568
355	Cedar Creek and Belle Grove National Historical Park	Shenandoah National Park	115619
356	Shenandoah National Park	Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park	94212
357	Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park	Prince William Forest Park	41595
358	Prince William Forest Park	Manassas National Battlefield Park	48716
359	Manassas National Battlefield Park	Wolf Trap National Park for the Performing Arts	41495
360	Wolf Trap National Park for the Performing Arts	Clara Barton National Historic Site	16327
361	Clara Barton National Historic Site	Rock Creek Park	10377
362	Rock Creek Park	Greenbelt Park	23249
363	Greenbelt Park	Carter G. Woodson Home National Historic Site	19819
364	Carter G. Woodson Home National Historic Site	Mary McLeod Bethune Council House National Historic Site	865
365	Mary McLeod Bethune Council House National Historic Site	World War I Memorial	753
366	World War I Memorial	Potomac Heritage National Scenic Trail	2203
367	Potomac Heritage National Scenic Trail	Chesapeake and Ohio Canal National Historical Park	593
368	Chesapeake and Ohio Canal National Historical Park	Theodore Roosevelt Island	3909
369	Theodore Roosevelt Island	Arlington House, The Robert E. Lee Memorial	7212
370	Arlington House, The Robert E. Lee Memorial	Lyndon Baines Johnson Memorial Grove on the Potomac	2543
371	Lyndon Baines Johnson Memorial Grove on the Potomac	Franklin Delano Roosevelt Memorial	4596
372	Franklin Delano Roosevelt Memorial	Martin Luther King, Jr. Memorial	184
373	Martin Luther King, Jr. Memorial	Korean War Veterans Memorial	299
374	Korean War Veterans Memorial	Vietnam Veterans Memorial	2464
375	Vietnam Veterans Memorial	Constitution Gardens	393
376	Constitution Gardens	World War II Memorial	727
377	World War II Memorial	Thomas Jefferson Memorial	1872
378	Thomas Jefferson Memorial	National Capital Parks	2782
379	National Capital Parks	Lincoln Memorial	2191
